path,label
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_378_aug_1.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_283_aug_1.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/2TSVE42PCX.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_213_aug_3.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/01149.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/0KB5700VPB.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/02450.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/1VZRWOCVTF.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_127_aug_0.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/03700.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_273_aug_2.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/03697.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_545_aug_1.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_530_aug_1.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/0R4J085LRC.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_638_aug_1.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_33_aug_2.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_36_aug_4.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/02554.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_37_aug_1.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_233_aug_0.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_570_aug_4.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/1ZFVS1YKB9.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_122_aug_1.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_626_aug_4.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_248_aug_1.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_578_aug_3.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/1Y8M3H56XS.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_408_aug_3.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/02SHH5LT0P.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_23_aug_0.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/0F71NN1XHZ.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/03735.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_327_aug_2.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_532_aug_3.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_546_aug_2.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_380_aug_3.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/1TUU0X4ED5.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_366_aug_0.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/00352.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_401_aug_2.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/1VRSCM1PIL.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/0VQ7FFO5H6.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/3GE41CEGHI.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/real_291_aug_0.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_643_aug_3.jpg,Fake
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Real/02743.jpg,Real
/kaggle/input/stylegan-and-stylegan2-combined-dataset/Final Dataset/Fake/fake_216_aug_3.jpg,Fake
